Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
DODO-USD,DODO USD,0.150454,-0.001900,-1.25%,92.472M,3.244M,3.244M,3.244M,614.618M
BAKE-USD,BakeryToken USD,0.317391,-0.004203,-1.31%,91.971M,10.916M,10.916M,10.916M,289.771M
NXRA-USD,AllianceBlock Nexera USD,0.118872,+0.000150,+0.13%,91.295M,"517,132","517,132","517,132",768.014M
OGN-USD,Origin Protocol USD,0.159864,-0.001295,-0.80%,91.439M,8.263M,8.263M,8.263M,571.979M
CVC-USD,Civic USD,0.090835,-0.000410,-0.45%,90.835M,2.488M,2.488M,2.488M,1B
WIN-USD,WINkLink USD,0.000094,+0.000001,+0.96%,90.524M,14.649M,14.649M,14.649M,961.737B
SDEX-USD,SmarDex USD,0.013079,+0.000115,+0.89%,90.176M,"729,021","729,021","729,021",6.895B
AGLD-USD,Adventure Gold USD,1.1520,-0.0047,-0.41%,89.024M,6.139M,6.139M,6.139M,77.28M
WILD-USD,Wilder World USD,0.341331,+0.007490,+2.24%,89.086M,"457,818","457,818","457,818",260.994M
OMG-USD,OMG Network USD,0.630261,-0.006568,-1.03%,88.391M,8.526M,8.526M,8.526M,140.245M
PAAL-USD,PAAL AI USD,0.112799,-0.003778,-3.24%,87.945M,1.564M,1.564M,1.564M,779.663M
UQC-USD,Uquid Coin USD,8.8301,+1.3054,+17.35%,88.301M,1.04M,1.04M,1.04M,10M
TON-USD,Tokamak Network USD,2.0007,-0.0121,-0.60%,87.712M,"997,754","997,754","997,754",43.841M
MED-USD,MediBloc USD,0.010526,+0.000055,+0.53%,87.214M,"377,538","377,538","377,538",8.286B
ERG-USD,Ergo USD,1.1907,-0.0003,-0.02%,87.092M,"210,226","210,226","210,226",73.146M
GF15585-USD,GuildFi USD,0.162052,+0.001856,+1.16%,87.11M,1.116M,1.116M,1.116M,537.542M
GOG-USD,Guild of Guardians USD,0.163706,+0.013278,+8.83%,85.715M,"264,254","264,254","264,254",523.591M
IQ-USD,IQ USD,0.004839,-0.000077,-1.57%,85.546M,1.006M,1.006M,1.006M,17.679B
SYS-USD,Syscoin USD,0.115663,-0.004549,-3.78%,85.107M,1.365M,1.365M,1.365M,735.82M
ORAI-USD,Oraichain USD,6.6599,+0.0421,+0.64%,84.622M,"697,939","697,939","697,939",12.706M
BFC7817-USD,Bifrost USD,0.060791,-0.000971,-1.57%,84.295M,"544,372","544,372","544,372",1.387B
ELON-USD,Dogelon Mars USD,0.00000015,-0.00000000,-1.23%,84.057M,7.501M,7.501M,7.501M,549.653T
COTI-USD,COTI USD,0.055328,-0.000697,-1.24%,83.917M,3.405M,3.405M,3.405M,1.517B
ARDR-USD,Ardor USD,0.083585,-0.000216,-0.26%,83.501M,1.2M,1.2M,1.2M,998.999M
XPLA-USD,XPLA USD,0.192283,+0.008633,+4.70%,83.51M,4.106M,4.106M,4.106M,434.308M
CTK4807-USD,Shentu USD,0.639058,-0.015220,-2.33%,83.375M,2.843M,2.843M,2.843M,130.466M
FLIX-USD,OmniFlix Network USD,0.331630,-0.007433,-2.19%,83.159M,"58,015","58,015","58,015",250.759M
REQ-USD,Request USD,0.082946,-0.000778,-0.93%,82.918M,1.34M,1.34M,1.34M,999.665M
VRSC-USD,VerusCoin USD,1.0963,+0.0080,+0.73%,82.674M,"5,436","5,436","5,436",75.409M
GEL-USD,Gelato USD,0.751109,-0.023777,-3.07%,82.586M,"439,342","439,342","439,342",109.952M
MYRO-USD,Myro USD,0.086298,+0.040462,+88.28%,81.483M,75.241M,75.241M,75.241M,944.204M
MRS21178-USD,Metars Genesis USD,1.2916,+0.0024,+0.18%,81.174M,"55,935","55,935","55,935",62.85M
SNEK25264-USD,Snek USD,0.001102,+0.000006,+0.55%,80.691M,1.178M,1.178M,1.178M,73.235B
POL28321-USD,Polygon Ecosystem Token USD,0.779252,-0.010680,-1.35%,80.638M,"143,819","143,819","143,819",103.481M
ALPHA-USD,Stella USD,0.095166,-0.000844,-0.88%,80.51M,2.106M,2.106M,2.106M,846M
WMT-USD,World Mobile Token USD,0.163462,-0.004430,-2.64%,80.397M,1.736M,1.736M,1.736M,491.839M
MYRIA22289-USD,Myria USD,0.007983,+0.000212,+2.72%,80.306M,1.957M,1.957M,1.957M,10.06B
POLIS11213-USD,Star Atlas DAO USD,0.327818,+0.005206,+1.61%,80.092M,"594,358","594,358","594,358",244.318M
GODS-USD,Gods Unchained USD,0.291746,-0.007077,-2.37%,79.541M,"874,128","874,128","874,128",272.639M
NKN-USD,NKN USD,0.105054,-0.000976,-0.92%,79.298M,2.515M,2.515M,2.515M,754.831M
